city,year,weekofyear,total_cases
sj,2012,31,30
sj,2012,32,40
sj,2012,33,49
sj,2012,34,51
sj,2012,35,42
sj,2012,36,25
sj,2012,37,40
sj,2012,38,34
sj,2012,39,28
sj,2012,40,47
sj,2012,41,32
sj,2012,42,51
sj,2012,43,39
sj,2012,44,54
sj,2012,45,57
sj,2012,46,25
sj,2012,47,23
sj,2012,48,34
sj,2012,49,25
sj,2012,50,31
sj,2012,51,19
sj,2013,1,30
sj,2013,2,24
sj,2013,3,17
sj,2013,4,28
sj,2013,5,26
sj,2013,6,27
sj,2013,7,34
sj,2013,8,17
sj,2013,9,27
sj,2013,10,26
sj,2013,11,34
sj,2013,12,17
sj,2013,13,12
sj,2013,14,27
sj,2013,15,19
sj,2013,16,19
sj,2013,17,28
iq,2010,26,12
iq,2010,27,6
iq,2010,28,11
iq,2010,29,9
iq,2010,30,6
iq,2010,31,33
iq,2010,32,6
iq,2010,33,11
iq,2010,34,20
iq,2010,35,34
iq,2010,36,8
iq,2010,37,34
iq,2010,38,35
iq,2010,39,34
iq,2010,40,34
iq,2010,41,34
iq,2010,42,35
iq,2010,43,36
iq,2010,44,35
iq,2010,45,34
iq,2010,46,10
iq,2010,47,12
iq,2010,48,37
iq,2010,49,9
iq,2010,50,35
iq,2010,51,34
iq,2011,52,7
iq,2011,1,34
iq,2011,2,11
iq,2011,3,15
iq,2011,4,14
iq,2011,5,6
iq,2011,6,7
iq,2011,7,12
iq,2011,8,13
iq,2011,9,14
iq,2011,10,12
iq,2011,11,35
iq,2011,12,10
iq,2011,13,8
iq,2011,14,10
iq,2011,15,6
iq,2011,16,7
iq,2011,17,9
iq,2011,18,9
iq,2011,19,6
iq,2011,20,8
iq,2011,21,12
iq,2011,22,7
iq,2011,23,6
iq,2011,24,11
iq,2011,25,6
iq,2011,26,6
iq,2011,27,6
iq,2011,28,5
iq,2011,29,6
iq,2011,30,6
iq,2011,31,6
iq,2011,32,6
iq,2011,33,6
iq,2011,34,6
iq,2011,35,6
iq,2011,36,6
iq,2011,37,14
iq,2011,38,35
iq,2011,39,8
iq,2011,40,8
iq,2011,41,11
iq,2011,42,35
iq,2011,43,35
iq,2011,44,34
iq,2011,45,35
iq,2011,46,11
iq,2011,47,10
iq,2011,48,34
iq,2011,49,10
iq,2011,50,7
iq,2011,51,10
iq,2012,52,10
iq,2012,1,7
iq,2012,2,7
iq,2012,3,11
iq,2012,4,6
iq,2012,5,7
iq,2012,6,8
iq,2012,7,8
iq,2012,8,9
iq,2012,9,6
iq,2012,10,12
iq,2012,11,7
iq,2012,12,6
iq,2012,13,9
iq,2012,14,6
iq,2012,15,10
iq,2012,16,10
iq,2012,17,11
iq,2012,18,7
iq,2012,19,5
iq,2012,20,11
iq,2012,21,6
iq,2012,22,7
iq,2012,23,6
iq,2012,24,6
iq,2012,25,6
iq,2012,26,6
iq,2012,27,5
iq,2012,28,6
iq,2012,29,6
iq,2012,30,24
iq,2012,31,5
iq,2012,32,5
iq,2012,33,5
iq,2012,34,26
iq,2012,35,7
iq,2012,36,6
iq,2012,37,34
iq,2012,38,34
iq,2012,39,34
iq,2012,40,7
iq,2012,41,37
iq,2012,42,34
iq,2012,43,10
iq,2012,44,35
iq,2012,45,35
iq,2012,46,35
iq,2012,47,14
iq,2012,48,11
iq,2012,49,34
iq,2012,50,9
iq,2012,51,11
iq,2013,1,11
iq,2013,2,6
iq,2013,3,6
iq,2013,4,9
iq,2013,5,9
iq,2013,6,10
iq,2013,7,10
iq,2013,8,11
iq,2013,9,14
iq,2013,10,9
iq,2013,11,11
iq,2013,12,11
iq,2013,13,9
iq,2013,14,10
iq,2013,15,9
iq,2013,16,11
iq,2013,17,7
iq,2013,18,6
iq,2013,19,10
iq,2013,20,14
iq,2013,21,6
iq,2013,22,7
iq,2013,23,6
iq,2013,24,6
iq,2013,25,5
iq,2013,26,6
